section,word,pattern,images_found
Long A(ai),aid,21,aid
Long A(ai),ail,21,ail
Long A(ai),aim,21,aim
Long A(ai),fail,121,fail
Long A(ai),hail,121,hail
Long A(ai),jail,121,jail
Long A(ai),mail,121,mail
Long A(ai),nail,121,nail
Long A(ai),pail,121,pail
Long A(ai),pain,121,pain
Long A(ai),rain,121,rain
Long A(ai),rail,121,rail
Long A(ai),sail,121,sail
Long A(ai),tail,121,tail
Long A(ai),wail,121,wail
Long A(ai),chain,221,chain
Long A(ay),bay,12,bay
Long A(ay),day,12,day
Long A(ay),hay,12,hay
Long A(ay),lay,12,lay
Long A(ay),pay,12,pay
Long A(ay),say,12,say
Long E(ee),bee,12,bee
Long E(ee),fee,12,fee
Long E(ee),see,12,see
Long E(ee),sheep,221,sheep
Long E(ee),beep,121,beep
Long E(ee),beet,121,beet
Long E(ee),flee,112,flee
Long E(ee),queen,221,queen
Long E(ee),sheet,221,sheet
Long E(ee),cheek,221,cheek
Long E(ee),deep,121,deep
Long E(ee),seek,121,seek
Long E(ee),week,121,week
Long E(ee),peel,121,peel
Long E(ee),feel,121,feel
Long E(ee),eel,21,eel
Long E(ee),teeth,122,teeth
Long E(ee),weep,121,weep
Long E(ee),meet,121,meet
Long E(ee),feed,121,feed
Long E(ee),peek,121,peek
Long E(ea),pea,12,pea
Long E(ea),sea,12,sea
Long E(ea),tea,12,tea
Long E(ea),bead,121,bead
Long E(ea),beam,121,beam
Long E(ea),bean,121,bean
Long E(ea),beat,121,beat
Long E(ea),beak,121,beak
Long E(ea),heat,121,heat
Long E(ea),lean,121,lean
Long E(ea),leap,121,leap
Long E(ea),meat,121,meat
Long E(ea),read,121,read
Long E(ea),seat,121,seat
Long E(ea),seal,121,seal
Long E(ea),reach,122,reach
Long E(ea),beach,122,beach
Long E(ea),peach,122,peach
Long E(ea),cheap,221,cheap
Long E(ea),wheel,221,wheel
Long O(oa),oak,21,oak
Long O(oa),soak,121,soak
Long O(oa),loaf,121,loaf
Long O(oa),boat,121,boat
Long O(oa),load,121,load
Long O(oa),roam,121,roam
Long O(oa),road,121,road
Long O(oa),soap,121,soap
Long O(oa),toad,121,toad
Long O(oe),doe,12,doe
Long O(oe),foe,12,foe
Long O(oe),toe,12,toe
Long O(oe),woe,12,woe
Long U(ue),crew,112,crew
Long U(ue),flew,112,flew
Long U(ue),threw,212,threw
Long U(ue),screw,1112,screw
Long U(ew),few,12,few
Long U(ew),new,12,new
Long U(ew),chew,22,chew
Long O(ow),bow,12,bow bowdown
Long O(ow),low,12,low
Long O(ow),mow,12,mow
Long O(ow),row,12,row
Long O(ow),show,22,show
Long O(ow),gown,121,gown
Long O(ow),down,121,down
Long O(ow),town,121,town
Long O(ow),cow,12,cow
Long O(ow),fowl,121,fowl
Long O(ow),owl,21,owl
Diphthong(ou),out,21,out
Diphthong(ou),our,21,our
Diphthong(ou),ouch,22,ouch
Diphthong(ou),bout,121,bout
Diphthong(ou),couch,122,couch
Diphthong(ou),foul,121,foul
Diphthong(ou),pout,121,pout
Diphthong(ou),hound,1211,hound
Diphthong(ou),round,1211,round
Diphthong(ou),sound,1211,sound
Diphthong(oi),koi,21,koi
Diphthong(oi),boil,121,boil
Diphthong(oi),coil,121,coil
Diphthong(oi),foil,121,foil
Diphthong(oi),soil,121,soil
Diphthong(oi),toil,121,toil
Diphthong(oi),coin,121,coin
Diphthong(oi),oil,21,oil
Diphthong(oi),join,121,join
Diphthong(oi),void,121,void
Diphthong(oy),boy,12,boy
Diphthong(oy),joy,12,joy
Diphthong(oy),toy,12,toy
Long I(ie),die,12,die
Long I(ie),lie,12,lie
Long I(ie),tie,12,tie
Long I(igh),high,13,high
Long I(igh),thigh,23,thigh
Long I(igh),sigh,13,sigh
Long I(igh),fight,131,fight
Long I(igh),light,131,light
Long I(igh),might,131,might
Variant Vowel(au),haul,121,haul
Variant Vowel(au),aunt,121,aunt
Variant Vowel(au),gauze,122,gauze
Variant Vowel(au),maul,121,maul
Variant Vowel(au),pause,122,pause
Variant Vowel(aw),bawl,121,bawl
Variant Vowel(aw),paw,12,paw
Variant Vowel(aw),raw,12,raw
Variant Vowel(aw),law,12,law
Variant Vowel(aw),lawn,121,lawn
Variant Vowel(aw),pawn,121,pawn
Variant Vowel(aw),dawn,121,dawn
Variant Vowel(aw),hawk,121,hawk
Variant Vowel(aw),jaw,12,jaw
Variant Vowel(aw),yawn,121,yawn
Variant Vowel(aw),thaw,22,thaw
Variant Vowel(aw),gawk,121,gawk
Variant Vowel(aw),fawn,121,fawn
Long U(oo),boo,12,boo
Long U(oo),coo,12,coo
Long U(oo),goo,12,goo
Long U(oo),moo,12,moo
Long U(oo),zoo,12,zoo
Long U(oo),boot,121,boot
Long U(oo),moon,121,moon
Long U(oo),room,121,room
Long U(oo),tool,121,tool
Long U(oo),booth,122,booth
Long U(oo),tooth,122,tooth
Variant Vowel(oo),book,121,book
Variant Vowel(oo),cook,121,cook
Variant Vowel(oo),hook,121,hook
Variant Vowel(oo),look,121,look
Variant Vowel(oo),took,121,took
Variant Vowel(oo),foot,121,foot
Variant Vowel(oo),good,121,good
Variant Vowel(oo),hood,121,hood
Variant Vowel(oo),wood,121,wood
