word,prompt
bay,"Transparent square PNG image of bay, black-and-white, kid-friendly cartoon style, bold outlines, no shading or gradients, no text, clean background, rounded shapes, clear and simple design for educational worksheet clipart, high quality."
braid,"Transparent square PNG image, black-and-white kid-friendly worksheet clipart line art: side-facing girl from shoulders up with one clear long braid, plus a simple arrow pointing directly to the braid. Bold clean outlines, minimal details, no shading or gradients, no text labels, transparent background, high quality."
eight,"Transparent square PNG image of the Arabic numeral digit 8 only (single large number eight), black-and-white kid-friendly worksheet clipart line art. Bold clean outline, centered composition, no extra objects, no characters, no shading or gradients, no text labels, transparent background, high quality."
day,"Transparent square PNG image of day, black-and-white, kid-friendly cartoon style, bold outlines, no shading or gradients, no text, clean background, rounded shapes, clear and simple design for educational worksheet clipart, high quality."
brain,"Transparent square PNG image of brain, black-and-white, kid-friendly cartoon style, bold outlines, no shading or gradients, no text, clean background, rounded shapes, clear and simple design for educational worksheet clipart, high quality."
hay,"Transparent square PNG image of hay, black-and-white, kid-friendly cartoon style, bold outlines, no shading or gradients, no text, clean background, rounded shapes, clear and simple design for educational worksheet clipart, high quality."
claim,"Transparent square PNG image of claim, black-and-white, kid-friendly cartoon style, bold outlines, no shading or gradients, no text, clean background, rounded shapes, clear and simple design for educational worksheet clipart, high quality."
neigh,"Transparent square PNG image of neigh, black-and-white, kid-friendly cartoon style, bold outlines, no shading or gradients, no text, clean background, rounded shapes, clear and simple design for educational worksheet clipart, high quality."
play,"Transparent square PNG image of play, black-and-white, kid-friendly cartoon style, bold outlines, no shading or gradients, no text, clean background, rounded shapes, clear and simple design for educational worksheet clipart, high quality."
hail,"Transparent square PNG image of hail, black-and-white, kid-friendly cartoon style, bold outlines, no shading or gradients, no text, clean background, rounded shapes, clear and simple design for educational worksheet clipart, high quality."
mail,"Transparent square PNG image of mail, black-and-white, kid-friendly cartoon style, bold outlines, no shading or gradients, no text, clean background, rounded shapes, clear and simple design for educational worksheet clipart, high quality."
snail,"Transparent square PNG image of snail, black-and-white, kid-friendly cartoon style, bold outlines, no shading or gradients, no text, clean background, rounded shapes, clear and simple design for educational worksheet clipart, high quality."
pail,"Transparent square PNG image of pail, black-and-white, kid-friendly cartoon style, bold outlines, no shading or gradients, no text, clean background, rounded shapes, clear and simple design for educational worksheet clipart, high quality."
paint,"Transparent square PNG image of paint, black-and-white, kid-friendly cartoon style, bold outlines, no shading or gradients, no text, clean background, rounded shapes, clear and simple design for educational worksheet clipart, high quality."
rain,"Transparent square PNG image of rain, black-and-white, kid-friendly cartoon style, bold outlines, no shading or gradients, no text, clean background, rounded shapes, clear and simple design for educational worksheet clipart, high quality."
train,"Transparent square PNG image of train, black-and-white, kid-friendly cartoon style, bold outlines, no shading or gradients, no text, clean background, rounded shapes, clear and simple design for educational worksheet clipart, high quality."
sail,"Transparent square PNG image of sail, black-and-white, kid-friendly cartoon style, bold outlines, no shading or gradients, no text, clean background, rounded shapes, clear and simple design for educational worksheet clipart, high quality."
tail,"Transparent square PNG image of tail, black-and-white, kid-friendly cartoon style, bold outlines, no shading or gradients, no text, clean background, rounded shapes, clear and simple design for educational worksheet clipart, high quality."
wail,"Transparent square PNG image of wail, black-and-white, kid-friendly cartoon style, bold outlines, no shading or gradients, no text, clean background, rounded shapes, clear and simple design for educational worksheet clipart, high quality."
chain,"Transparent square PNG image of chain, black-and-white, kid-friendly cartoon style, bold outlines, no shading or gradients, no text, clean background, rounded shapes, clear and simple design for educational worksheet clipart, high quality."
