word,prompt
bay,"Black-and-white, kid-friendly cartoon illustration of bay. Bold outlines, no shading, no text, clean transparent background. Rounded shapes and simple design to match educational worksheet clipart style."
braid,"Black-and-white, kid-friendly cartoon illustration of braid. Bold outlines, no shading, no text, clean transparent background. Rounded shapes and simple design to match educational worksheet clipart style."
eight,"Black-and-white, kid-friendly cartoon illustration of eight. Bold outlines, no shading, no text, clean transparent background. Rounded shapes and simple design to match educational worksheet clipart style."
day,"Black-and-white, kid-friendly cartoon illustration of day. Bold outlines, no shading, no text, clean transparent background. Rounded shapes and simple design to match educational worksheet clipart style."
brain,"Black-and-white, kid-friendly cartoon illustration of brain. Bold outlines, no shading, no text, clean transparent background. Rounded shapes and simple design to match educational worksheet clipart style."
hay,"Black-and-white, kid-friendly cartoon illustration of hay. Bold outlines, no shading, no text, clean transparent background. Rounded shapes and simple design to match educational worksheet clipart style."
claim,"Black-and-white, kid-friendly cartoon illustration of claim. Bold outlines, no shading, no text, clean transparent background. Rounded shapes and simple design to match educational worksheet clipart style."
neigh,"Black-and-white, kid-friendly cartoon illustration of neigh. Bold outlines, no shading, no text, clean transparent background. Rounded shapes and simple design to match educational worksheet clipart style."
play,"Black-and-white, kid-friendly cartoon illustration of play. Bold outlines, no shading, no text, clean transparent background. Rounded shapes and simple design to match educational worksheet clipart style."
hail,"Black-and-white, kid-friendly cartoon illustration of hail. Bold outlines, no shading, no text, clean transparent background. Rounded shapes and simple design to match educational worksheet clipart style."
mail,"Black-and-white, kid-friendly cartoon illustration of mail. Bold outlines, no shading, no text, clean transparent background. Rounded shapes and simple design to match educational worksheet clipart style."
snail,"Black-and-white, kid-friendly cartoon illustration of snail. Bold outlines, no shading, no text, clean transparent background. Rounded shapes and simple design to match educational worksheet clipart style."
pail,"Black-and-white, kid-friendly cartoon illustration of pail. Bold outlines, no shading, no text, clean transparent background. Rounded shapes and simple design to match educational worksheet clipart style."
paint,"Black-and-white, kid-friendly cartoon illustration of paint. Bold outlines, no shading, no text, clean transparent background. Rounded shapes and simple design to match educational worksheet clipart style."
rain,"Black-and-white, kid-friendly cartoon illustration of rain. Bold outlines, no shading, no text, clean transparent background. Rounded shapes and simple design to match educational worksheet clipart style."
train,"Black-and-white, kid-friendly cartoon illustration of train. Bold outlines, no shading, no text, clean transparent background. Rounded shapes and simple design to match educational worksheet clipart style."
sail,"Black-and-white, kid-friendly cartoon illustration of sail. Bold outlines, no shading, no text, clean transparent background. Rounded shapes and simple design to match educational worksheet clipart style."
tail,"Black-and-white, kid-friendly cartoon illustration of tail. Bold outlines, no shading, no text, clean transparent background. Rounded shapes and simple design to match educational worksheet clipart style."
wail,"Black-and-white, kid-friendly cartoon illustration of wail. Bold outlines, no shading, no text, clean transparent background. Rounded shapes and simple design to match educational worksheet clipart style."
chain,"Black-and-white, kid-friendly cartoon illustration of chain. Bold outlines, no shading, no text, clean transparent background. Rounded shapes and simple design to match educational worksheet clipart style."
