word,prompt
album,"Transparent square PNG image of album, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
anchor,"Transparent square PNG image of anchor, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
appendix,"Transparent square PNG image of appendix, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
atlas,"Transparent square PNG image of atlas, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
attic,"Transparent square PNG image of attic, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
backbone,"Transparent square PNG image of backbone, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
backdrop,"Transparent square PNG image of backdrop, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
backpack,"Transparent square PNG image of backpack, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
bagpipe,"Transparent square PNG image of bagpipe, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
barcode,"Transparent square PNG image of barcode, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
basket,"Transparent square PNG image of basket, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
basketball,"Transparent square PNG image of basketball, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
basement,"Transparent square PNG image of basement, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
bathmat,"Transparent square PNG image of bathmat, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
bathtub,"Transparent square PNG image of bathtub, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
bedbug,"Transparent square PNG image of bedbug, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
bedrock,"Transparent square PNG image of bedrock, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
beehive,"Transparent square PNG image of beehive, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
blacksmith,"Transparent square PNG image of blacksmith, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
blanket,"Transparent square PNG image of blanket, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
bonfire,"Transparent square PNG image of bonfire, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
bracelet,"Transparent square PNG image of bracelet, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
bugle,"Transparent square PNG image of bugle, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
bucket,"Transparent square PNG image of bucket, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
button,"Transparent square PNG image of button, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
cabinet,"Transparent square PNG image of cabinet, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
cable,"Transparent square PNG image of cable, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
cactus,"Transparent square PNG image of cactus, black-and-white kid-friendly worksheet clipart line art, bold clean outlines, simple shapes, no shading, no gradients, no text labels, transparent background, high quality. If people or characters are shown, use diverse features and hairstyles and avoid defaulting to white-coded characters. No weapons, no violence, no scary or threatening elements."
